Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt3581932,7,2023-08-21,And Then There Were None,https://www.imdb.com/title/tt3581932/,tvMiniSeries,7.8,58,2015,"Crime, Drama, Mystery, Thriller",42324,2015-05-07,Unkown
tt3606756,8,2023-08-21,Incredibles 2,https://www.imdb.com/title/tt3606756/,movie,7.6,118,2018,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",319147,2018-06-05,Brad Bird
tt3613454,10,2021-05-04,Zankyô no teroru,https://www.imdb.com/title/tt3613454/,tvMiniSeries,7.8,23,2014,"Animation, Crime, Drama, Mystery, Thriller",12938,2014-07-11,Unkown
tt3741634,7,2021-05-04,Tokyo Ghoul,https://www.imdb.com/title/tt3741634/,tvMiniSeries,7.7,24,2014,"Animation, Action, Drama, Fantasy, Horror, Thriller",61080,2014-07-03,Unkown
tt3894916,2,2023-08-21,Terra Formars,https://www.imdb.com/title/tt3894916/,tvSeries,6.4,Unkown,2014,"Animation, Action, Horror, Sci-Fi",1252,2014-08-08,Unkown
tt3909224,8,2021-05-04,Nanatsu no taizai,https://www.imdb.com/title/tt3909224/,tvSeries,7.8,24,2014,"Animation, Action, Adventure, Comedy, Fantasy",36245,2014-09-01,Unkown
tt0409591,6,2023-08-21,Naruto,https://www.imdb.com/title/tt0409591/,tvSeries,8.4,24,2002,"Animation, Action, Adventure, Comedy, Fantasy",119240,2002-10-03,Unkown
tt0421357,9,2021-05-04,Hagane no renkinjutsushi,https://www.imdb.com/title/tt0421357/,tvSeries,8.5,24,2003,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",75299,2003-10-04,Unkown
tt0426719,9,2021-05-05,Hunter x Hunter,https://www.imdb.com/title/tt0426719/,tvSeries,8.6,23,1999,"Animation, Action, Adventure, Comedy, Fantasy",9068,1999-10-16,Unkown
tt0435286,7,2021-05-08,Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Rekkû no hômonsha Deokishisu,https://www.imdb.com/title/tt0435286/,movie,6.0,98,2004,"Animation, Action, Adventure, Drama, Family, Fantasy, Sci-Fi",4283,2004-07-17,"Darren Dunstan, Kunihiko Yuyama"
tt4508902,6,2023-08-21,One Punch Man: Wanpanman,https://www.imdb.com/title/tt4508902/,tvSeries,8.7,24,2015,"Animation, Action, Comedy, Fantasy, Sci-Fi",178124,2015-10-01,Unkown
tt4574334,7,2023-08-21,Stranger Things,https://www.imdb.com/title/tt4574334/,tvSeries,8.7,51,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1283471,2016-07-11,Unkown
tt4604612,8,2023-08-09,The Alienist,https://www.imdb.com/title/tt4604612/,tvSeries,7.7,60,2018,"Crime, Drama, Mystery",58238,2018-01-21,Unkown
tt4633694,8,2021-05-05,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,movie,8.4,117,2018,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",634480,2018-12-12,"Peter Ramsey, Rodney Rothman, Bob Persichetti"
tt0499549,7,2023-08-21,Avatar,https://www.imdb.com/title/tt0499549/,movie,7.9,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1363006,2009-12-10,James Cameron
tt5180504,8,2023-08-09,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.0,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",553992,2019-12-20,Unkown
tt5249462,9,2021-05-04,Boku dake ga inai machi,https://www.imdb.com/title/tt5249462/,tvMiniSeries,8.5,264,2016,"Animation, Crime, Drama, Fantasy, Mystery, Sci-Fi, Thriller",54853,2016-01-07,Unkown
tt5311514,9,2021-05-04,Kimi no na wa.,https://www.imdb.com/title/tt5311514/,movie,8.4,106,2016,"Animation, Drama, Fantasy, Romance",301307,2016-07-03,Makoto Shinkai
tt5323662,9,2021-05-04,Koe no katachi,https://www.imdb.com/title/tt5323662/,movie,8.1,130,2016,"Animation, Drama",94499,2016-09-17,Naoko Yamada
tt5544384,7,2021-05-04,Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -,https://www.imdb.com/title/tt5544384/,movie,7.3,119,2017,"Animation, Action, Adventure, Fantasy, Sci-Fi",8760,2017-02-18,Tomohiko Itô
tt5562070,7,2023-08-22,Wish Dragon,https://www.imdb.com/title/tt5562070/,movie,7.2,98,2021,"Animation, Adventure, Comedy, Family, Fantasy, Romance",31695,2021-01-01,Chris Appelhans
tt5626028,8,2021-05-04,Boku no hîrô akademia,https://www.imdb.com/title/tt5626028/,tvSeries,8.3,24,2016,"Animation, Action, Adventure, Fantasy, Sci-Fi",73647,2016-04-03,Unkown
tt5679720,8,2021-05-04,Bungou Stray Dogs,https://www.imdb.com/title/tt5679720/,tvSeries,7.8,24,2016,"Animation, Action, Comedy, Crime, Fantasy, Mystery, Thriller",8784,2016-04-06,Unkown
tt5726616,8,2023-08-09,Call Me by Your Name,https://www.imdb.com/title/tt5726616/,movie,7.8,132,2017,"Drama, Romance",299017,2017-01-22,Luca Guadagnino
tt5848272,7,2023-08-21,Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/,movie,7.0,112,2018,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",175818,2018-11-05,"Rich Moore, Phil Johnston"
tt6163360,6,2021-05-04,Recorder to Randoseru,https://www.imdb.com/title/tt6163360/,tvSeries,6.4,3,2012,"Animation, Comedy",69,2012-01-05,Unkown
tt6226232,6,2023-08-21,Young Sheldon,https://www.imdb.com/title/tt6226232/,tvSeries,7.6,30,2017,Comedy,83397,2017-09-25,Unkown
tt6257970,9,2023-08-21,The End of the F***ing World,https://www.imdb.com/title/tt6257970/,tvSeries,8.0,25,2017,"Adventure, Comedy, Crime, Drama, Romance, Thriller",210912,2017-10-24,Unkown
tt6467266,6,2023-08-21,Sing 2,https://www.imdb.com/title/tt6467266/,movie,7.4,110,2021,"Animation, Adventure, Comedy, Family, Musical",79943,2021-11-14,"Garth Jennings, Christophe Lourdelet"
tt6468322,5,2023-08-09,La casa de papel,https://www.imdb.com/title/tt6468322/,tvSeries,8.2,70,2017,"Action, Crime, Drama, Mystery, Thriller",510990,2017-05-02,Unkown
tt7236034,7,2023-08-21,Kimi no suizô o tabetai,https://www.imdb.com/title/tt7236034/,movie,8.0,109,2018,"Animation, Drama, Family, Romance",21785,2018-08-23,Shin'ichirô Ushijima
tt7349950,7,2021-05-04,It Chapter Two,https://www.imdb.com/title/tt7349950/,movie,6.5,169,2019,"Drama, Fantasy, Horror",290241,2019-08-26,Andy Muschietti
tt7745068,8,2021-05-04,Boku no hîrô akademia THE MOVIE: 2-ri no eiyû,https://www.imdb.com/title/tt7745068/,movie,7.3,96,2018,"Animation, Action, Adventure, Fantasy, Sci-Fi",11932,2018-07-05,Kenji Nagasaki
tt7767422,7,2023-08-09,Sex Education,https://www.imdb.com/title/tt7767422/,tvSeries,8.3,45,2019,"Comedy, Drama",329805,2019-01-11,Unkown
tt7830574,8,2023-08-09,Ricky Gervais: Humanity,https://www.imdb.com/title/tt7830574/,tvSpecial,7.9,79,2018,Comedy,22378,2018-03-13,John L. Spencer
